대여일자,대여시간,대여소번호,대여소명,대여구분코드,성별,연령대코드,이용건수,운동량,탄소량,이동거리(M),이용시간(분)
2024-12-01,0,1442,1442. 중랑구청 중화동 별관 앞,정기권,,10대,1,105.32,0.66,2829.3,18
2024-12-01,0,2728,2728.마곡나루역 3번 출구,정기권,,10대,1,22.45,0.25,1090,7
2024-12-01,0,1023,1023. 한국종합기술사옥 앞,정기권,,20대,1,148.31,0.87,3745.23,21
2024-12-01,0,1150,1150. 송정역 1번출구,정기권,,20대,1,24.01,0.19,808.44,6
2024-12-01,0,1260,1260. 방이동 한양3차아파트 옆,정기권,,20대,1,92.85,0.94,4042.55,35
2024-12-01,0,1353,1353. 금호어울림센터힐 내,정기권,,20대,1,29.86,0.26,1108.96,5
2024-12-01,0,1961,1961. 신도림테크노근린공원,정기권,,20대,1,17.97,0.18,756.48,4
2024-12-01,0,3517,3517. 용마사거리,정기권,,20대,1,84.59,0.56,2400,19
2024-12-01,0,2173,2173. 당곡사거리,정기권,,20대,1,31.39,0.32,1390.79,10
2024-12-01,0,2175,2175. 신림동걷고싶은문화의거리입구,정기권,,20대,1,46.43,0.39,1674.99,24
2024-12-01,0,752,752. 성원2차 아파트,정기권,,20대,1,19.84,0.18,795.21,8
2024-12-01,0,1363,1363. 보문4교 인근,정기권,,20대,1,21.39,0.2,857.54,4
2024-12-01,0,1169,1169. 염창역 1번 출구,정기권,,20대,1,59.35,0.63,2725.09,18
2024-12-01,0,2177,2177. 신대방역 2번 출구,정기권,,20대,1,55.79,0.5,2167.55,15
2024-12-01,0,1297,1297. 석촌호수교차로(동호 팔각정 앞),정기권,,20대,1,52.84,0.56,2426.16,19
2024-12-01,0,657,657. 동대문롯데캐슬아파트 앞,정기권,,20대,1,40.93,0.37,1590,10
2024-12-01,0,283,283. 아크로타워 스퀘어(영등포시장),정기권,,20대,1,43.42,0.3,1290,44
2024-12-01,0,3533,3533. 건대입구역 사거리(롯데백화점),정기권,,20대,1,57.16,0.52,2220.65,12
2024-12-01,0,3534,3534. 건대입구역 5번출구 뒤,정기권,,20대,1,40.92,0.36,1542.17,14
2024-12-01,0,1692,1692. 온곡초교 교차로,정기권,,20대,1,21.58,0.17,726.63,2
2024-12-01,0,2608,2608. 송파구청,정기권,,20대,1,157.73,1.32,5690,32
2024-12-01,0,355,355. 서울사대부설초등학교 앞,정기권,,20대,1,28.7,0.29,1271.45,7
2024-12-01,0,2701,2701. 마곡나루역 5번출구 뒤편,정기권,,20대,1,36.04,0.32,1400,9
2024-12-01,0,2620,2620. 송파나루역 4번 출구옆,정기권,,20대,1,13.03,0.12,506.26,3
2024-12-01,0,3416,3416.동묘앞역 6번출구,정기권,,20대,1,51.28,0.59,2539.02,14
2024-12-01,0,3422,3422.성균관대 정문,정기권,,20대,1,46.98,0.38,1625,6
2024-12-01,0,2628,2628.문정역 1번출구,정기권,,20대,1,58.68,0.44,1899.86,8
2024-12-01,0,1867,1867.대륭포스트타워6차 앞,정기권,,20대,1,19.07,0.16,668.99,5
2024-12-01,0,3204,3204.도림고가도로 밑,정기권,,20대,1,128.28,1.16,4983.5,23
2024-12-01,0,3206,3206.문래동 주민센터,정기권,,20대,1,26.24,0.24,1019.31,8
2024-12-01,0,775,775.세종그랑시아 앞(102동),정기권,,20대,1,17.49,0.17,735.93,3
2024-12-01,0,779,779. 신정1동 주민센터 앞,정기권,,20대,1,63.02,0.51,2180,9
2024-12-01,0,2715,2715.마곡나루역 2번 출구 ,정기권,,20대,2,64.13,0.72,3112,20
2024-12-01,0,2721,2721.등촌1-10단지 교차로,정기권,,20대,1,62.86,0.5,2145.07,12
2024-12-01,0,793,793.목동5단지아파트 534동,정기권,,20대,1,58.72,0.33,1412.11,6
2024-12-01,0,2730,2730.마곡메가박스 앞,정기권,,20대,1,28.15,0.22,935.23,6
2024-12-01,0,2909,2909. 석계역 3번 출구,정기권,,20대,1,73.14,0.61,2638.36,139
2024-12-01,0,2915,2915.서울과학기술대학교(어학교육원),정기권,,20대,1,58.21,0.46,1986.56,15
2024-12-01,0,1751,1751. 창원초등학교 교차로,정기권,,20대,1,35.8,0.26,1130,5
2024-12-01,0,1384,1384.성신여대입구역 5번출구,정기권,,20대,1,10.84,0.12,526.45,4
2024-12-01,0,3569,3569.건대병원후문,정기권,,20대,3,179.45,1.48,6405.41,40
2024-12-01,0,3544,3544.한양대역 3번 출구,정기권,,20대,1,10.73,0.1,430,12
2024-12-01,0,2187,2187. 현대시장사거리,정기권,,20대,1,16.73,0.15,650,4
2024-12-01,0,795,795.양천 해누리타운,정기권,,20대,1,22.83,0.21,886.88,5
2024-12-01,0,796,796.목동아파트 14단지 B상가 앞,정기권,,20대,1,32.06,0.29,1245.63,9
2024-12-01,0,797,797.목동아파트 1422동 1434동 사잇길,정기권,,20대,1,41.35,0.39,1684.33,31
2024-12-01,0,3588,3588.세종대학교(영실관),정기권,,20대,1,25.72,0.19,811.96,5
2024-12-01,0,3772,3772. 길성그랑프리텔아파트,정기권,,20대,1,20.33,0.18,790,4
2024-12-01,0,4121,4121. 서울문화재단 앞,정기권,,20대,1,22.65,0.2,880,5
2024-12-01,0,4469,4469. 거여동 어울림아파트  102동앞,정기권,,20대,1,19.71,0.18,790,3
2024-12-01,0,4491,4491. 장지역 1번출구,정기권,,20대,1,186.12,1.35,5802.44,40
2024-12-01,0,124,124. 서강대 정문 건너편,정기권,,20대,1,61.48,0.52,2249.99,14
2024-12-01,0,4852,4852. 서울복합물류 게이트 1,정기권,,20대,1,11.77,0.11,487.13,2
2024-12-01,0,3803,3803. 남서울중학교,정기권,,20대,1,19.39,0.17,720.03,3
2024-12-01,0,605,605. 신설동역8번출구,정기권,,20대,1,108.25,0.95,4080,21
2024-12-01,0,3681,3681. 길동 마루빌딩,정기권,,20대,1,35.01,0.21,884.19,7
2024-12-01,0,4864,4864. 송파사거리,정기권,,20대,1,68.32,0.55,2363.37,23
2024-12-01,0,231,231. 남부고용노동지청 남측,정기권,,20대,1,49.76,0.49,2094.35,11
2024-12-01,0,232,232. 양평우림 이비즈센타 앞,정기권,,20대,1,73.58,0.65,2815.12,15
2024-12-01,0,4037,4037. 물넘이교,정기권,,20대,1,45.52,0.37,1574.6,10
2024-12-01,0,236,236. 문래동자이아파트 앞,정기권,,20대,2,55.34,0.52,2210,12
2024-12-01,0,4820,4820. 망우역 2번 출구,정기권,,20대,1,126.33,1.01,4370,28
2024-12-01,0,242,242. 신길선원가와인아파트 앞,정기권,,20대,1,41.04,0.34,1480.39,17
2024-12-01,0,5074,"5074. 마곡엠밸리14단지 버스정류장(마곡엠밸리11,12단지상가방면)",정기권,,20대,1,17.04,0.18,796.63,4
2024-12-01,0,4840,4840. 서울시 북부병원 앞,정기권,,20대,1,28.95,0.23,1001.3,6
2024-12-01,0,4540,4540. 목동역 3번 출구,정기권,,20대,1,43.72,0.39,1698.64,10
2024-12-01,0,703,703. 오목교역 7번출구 앞,정기권,,20대,1,40.14,0.43,1842.76,15
2024-12-01,0,4951,4951. 강동농협 버스정류소 앞(광채빌라),정기권,,20대,1,61.52,0.55,2390,13
2024-12-01,0,4543,4543. 오목교역 6번 출구,정기권,,20대,1,41.4,0.29,1230,9
2024-12-01,0,3890,3890. 웰츠타워 오피스텔,정기권,,20대,1,20.41,0.21,888.82,8
2024-12-01,0,5768,5768.방이삼거리,정기권,,20대,1,121.38,0.82,3523.09,18
2024-12-01,0,6171,6171. 월드빌딩 앞,정기권,,20대,1,21.51,0.18,775.93,9
2024-12-01,0,4933,4933. 디에이치퍼스티어아이파크 159동 앞,정기권,,20대,1,32.16,0.27,1160,6
2024-12-01,0,4399,4399. 더리브 세종타워 앞,정기권,,20대,1,48.52,0.41,1750.5,11
2024-12-01,0,134,134. 연세로 명물길,정기권,,20대,1,35.72,0.26,1113.52,5
2024-12-01,0,264,264. 교보생명보험 앞,정기권,,20대,1,35.1,0.4,1704.35,15
2024-12-01,0,268,268. 그랜드컨벤션센터 앞,정기권,,20대,1,16.76,0.13,549.77,5
2024-12-01,0,585,585. 성수2가1동 공영주차장 인근,정기권,,20대,1,7.98,0.07,320,21
2024-12-01,0,1112,1112. 마곡엠밸리4단지 정문,정기권,,20대,1,12.31,0.17,740,5
2024-12-01,0,1222,1222. 잠실새내역 5번 출구 뒤,정기권,,20대,1,67.36,0.61,2617.03,14
2024-12-01,0,176,176. 명지대학교 도서관,정기권,,20대,1,61.97,0.6,2565.53,10
2024-12-01,0,1401,1401. 극동늘푸른아파트,정기권,,20대,1,29.95,0.28,1220,6
2024-12-01,0,1901,1901. 신도림동주민센터 앞,정기권,,20대,1,72.68,0.62,2660,14
2024-12-01,0,2013,2013. 장승배기역 5번출구,정기권,,20대,1,30.25,0.26,1140,4
2024-12-01,0,2020,2020. 장승배기역2번출구뒷편쪽,정기권,,20대,1,20.49,0.27,1150,11
2024-12-01,0,2102,2102. 봉림교 교통섬,정기권,,20대,1,54.93,0.47,2010.49,16
