지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),전운량(10분위)
108,서울,2025-01-01 1:00,-1.7,,1.1,250,62,0
108,서울,2025-01-01 2:00,-1.8,,0.5,340,64,0
108,서울,2025-01-01 3:00,-2,,1.9,20,66,0
108,서울,2025-01-01 4:00,-2.3,,2.2,20,67,0
108,서울,2025-01-01 5:00,-2.5,,2,50,69,7
108,서울,2025-01-01 6:00,-1.9,,2.1,20,68,8
108,서울,2025-01-01 7:00,-1.3,,2.7,20,68,9
108,서울,2025-01-01 8:00,-0.8,,2.4,20,68,9
108,서울,2025-01-01 9:00,-0.1,,1.7,50,68,8
108,서울,2025-01-01 10:00,1.2,,1.6,50,66,9
108,서울,2025-01-01 11:00,3.1,,1.6,50,60,2
108,서울,2025-01-01 12:00,6.7,,2.1,180,55,2
108,서울,2025-01-01 13:00,7.8,,3.3,250,51,5
108,서울,2025-01-01 14:00,7.7,,3.9,250,54,3
108,서울,2025-01-01 15:00,8.5,,4.7,250,52,3
108,서울,2025-01-01 16:00,8.4,,4.2,250,50,1
108,서울,2025-01-01 17:00,7.1,,2.4,250,53,0
108,서울,2025-01-01 18:00,5.6,,2.9,250,59,0
108,서울,2025-01-01 19:00,4.7,,1.7,270,64,0
108,서울,2025-01-01 20:00,3.8,,2.2,270,73,0
108,서울,2025-01-01 21:00,3.3,,1,290,74,0
108,서울,2025-01-01 22:00,3,,2,320,72,0
108,서울,2025-01-01 23:00,1.9,,1.2,270,71,0
108,서울,2025-01-02 0:00,0.7,,1.5,270,72,0
108,서울,2025-01-02 1:00,0.4,,1.4,320,74,0
108,서울,2025-01-02 2:00,-0.7,,1.2,270,75,0
108,서울,2025-01-02 3:00,-1.4,,1.6,270,70,0
108,서울,2025-01-02 4:00,-1.5,,2,250,72,0
108,서울,2025-01-02 5:00,-2.3,,1.1,270,73,0
108,서울,2025-01-02 6:00,-2.5,,0.9,270,74,0
108,서울,2025-01-02 7:00,-2.5,,2.8,270,74,0
108,서울,2025-01-02 8:00,-2.8,,0.8,270,67,2
108,서울,2025-01-02 9:00,-2.3,,0.8,290,66,6
108,서울,2025-01-02 10:00,-0.3,,1.7,270,56,3
108,서울,2025-01-02 11:00,1.9,,2.4,290,41,0
108,서울,2025-01-02 12:00,3.5,,2.8,270,39,0
108,서울,2025-01-02 13:00,4.8,,3.6,290,29,0
108,서울,2025-01-02 14:00,5.2,,3.3,290,25,0
108,서울,2025-01-02 15:00,5.9,,2.1,290,27,0
108,서울,2025-01-02 16:00,5.4,,3.2,270,26,0
108,서울,2025-01-02 17:00,4.1,,2.6,290,28,0
108,서울,2025-01-02 18:00,2.7,,2,270,31,0
108,서울,2025-01-02 19:00,1.8,,2,290,32,0
108,서울,2025-01-02 20:00,1,,1.7,340,34,0
108,서울,2025-01-02 21:00,0,,0.4,0,37,0
108,서울,2025-01-02 22:00,-0.2,,2.6,270,40,0
108,서울,2025-01-02 23:00,-0.8,,3.2,320,45,0
108,서울,2025-01-03 0:00,-2,,3.2,270,46,0
108,서울,2025-01-03 1:00,-2.8,,2.3,290,48,0
108,서울,2025-01-03 2:00,-3.5,,2,320,49,0
108,서울,2025-01-03 3:00,-3.7,,2.7,320,49,0
108,서울,2025-01-03 4:00,-4.5,,1.3,270,51,0
108,서울,2025-01-03 5:00,-4.8,,1,270,52,0
108,서울,2025-01-03 6:00,-5.1,,1.3,270,55,0
108,서울,2025-01-03 7:00,-4.9,,1.8,320,57,0
108,서울,2025-01-03 8:00,-4.7,,1.5,290,54,0
108,서울,2025-01-03 9:00,-4.1,,2.2,290,50,0
108,서울,2025-01-03 10:00,-2.6,,2.4,290,40,0
108,서울,2025-01-03 11:00,-0.1,,1,180,36,2
108,서울,2025-01-03 12:00,1.9,,2.4,200,30,1
108,서울,2025-01-03 13:00,2.3,,2.4,270,29,7
108,서울,2025-01-03 14:00,2.7,,2.6,250,34,8
108,서울,2025-01-03 15:00,2.2,,2.7,270,38,7
108,서울,2025-01-03 16:00,3.1,,3.5,250,39,2
108,서울,2025-01-03 17:00,2.1,,2.9,200,44,0
108,서울,2025-01-03 18:00,1.2,,2.5,230,63,8
108,서울,2025-01-03 19:00,0.9,,2.3,270,67,5
108,서울,2025-01-03 20:00,0.4,,1.9,270,66,6
108,서울,2025-01-03 21:00,0.5,0,1.5,290,70,9
108,서울,2025-01-03 22:00,0.4,,3.2,270,71,2
108,서울,2025-01-03 23:00,-0.7,,4.2,290,70,0
108,서울,2025-01-04 0:00,-1.9,0,3.6,320,61,0
108,서울,2025-01-04 1:00,-2.6,,2.5,270,58,0
108,서울,2025-01-04 2:00,-3,,3.1,270,58,0
108,서울,2025-01-04 3:00,-3.5,,1.9,340,61,0
108,서울,2025-01-04 4:00,-4.2,,1.5,340,62,0
108,서울,2025-01-04 5:00,-4.3,,0.9,290,59,0
108,서울,2025-01-04 6:00,-4.9,,1,270,60,0
108,서울,2025-01-04 7:00,-5.1,,0.5,360,63,0
108,서울,2025-01-04 8:00,-5.4,,1.8,20,61,0
108,서울,2025-01-04 9:00,-4.7,,1.4,50,66,0
108,서울,2025-01-04 10:00,-1.7,,2.3,50,63,0
108,서울,2025-01-04 11:00,0.7,,0.8,50,47,0
108,서울,2025-01-04 12:00,3.3,,1.7,160,41,0
108,서울,2025-01-04 13:00,3.7,,2.2,290,31,0
108,서울,2025-01-04 14:00,5.1,,2.7,230,29,0
108,서울,2025-01-04 15:00,5.5,,1.5,250,26,0
108,서울,2025-01-04 16:00,4.8,,2.5,270,29,4
108,서울,2025-01-04 17:00,3.6,,1.8,270,36,7
108,서울,2025-01-04 18:00,3,,1.8,290,39,7
108,서울,2025-01-04 19:00,2.4,,2.1,200,38,4
108,서울,2025-01-04 20:00,1.3,,1,180,45,0
108,서울,2025-01-04 21:00,0.8,,1.7,160,48,0
108,서울,2025-01-04 22:00,0.4,,1.7,20,50,0
108,서울,2025-01-04 23:00,0,,1.3,50,52,4
108,서울,2025-01-05 0:00,-0.3,,2.1,50,56,4
108,서울,2025-01-05 1:00,-0.6,,2.3,50,57,6
108,서울,2025-01-05 2:00,-0.6,,1.8,50,60,9
108,서울,2025-01-05 3:00,0.1,0,2.2,50,61,10
108,서울,2025-01-05 4:00,0.6,,2.7,50,62,10
108,서울,2025-01-05 5:00,0.7,,2.3,50,60,10
108,서울,2025-01-05 6:00,0.5,0.3,2.6,50,72,10
108,서울,2025-01-05 7:00,-0.2,,2.5,50,87,10
108,서울,2025-01-05 8:00,-0.2,,1.9,70,91,10
108,서울,2025-01-05 9:00,-0.3,4.1,2,70,92,10
108,서울,2025-01-05 10:00,-0.1,,2.6,50,93,10
108,서울,2025-01-05 11:00,0.4,,1.9,50,94,10
108,서울,2025-01-05 12:00,0.6,1.3,2.3,50,93,10
108,서울,2025-01-05 13:00,0.8,,1.8,70,93,10
108,서울,2025-01-05 14:00,1.2,,2.6,50,93,10
108,서울,2025-01-05 15:00,1.8,1,3.1,50,91,9
108,서울,2025-01-05 16:00,1.8,,2.9,50,91,9
108,서울,2025-01-05 17:00,1.9,,2.8,50,90,9
108,서울,2025-01-05 18:00,1.9,,2.8,50,90,9
108,서울,2025-01-05 19:00,2.1,,2.7,50,90,7
108,서울,2025-01-05 20:00,2.2,,2.8,50,90,9
108,서울,2025-01-05 21:00,2.2,,2.6,50,90,9
108,서울,2025-01-05 22:00,2.4,,2.6,50,90,7
108,서울,2025-01-05 23:00,2.4,,2.3,70,90,8
108,서울,2025-01-06 0:00,2.4,,2.2,50,91,8
108,서울,2025-01-06 1:00,2.5,,2.3,50,90,7
108,서울,2025-01-06 2:00,2.9,,4.7,340,94,9
108,서울,2025-01-06 3:00,2.7,1.2,1,250,92,10
108,서울,2025-01-06 4:00,2.4,,0.6,50,93,10
108,서울,2025-01-06 5:00,2.3,,2.4,360,94,10
108,서울,2025-01-06 6:00,2.2,1.8,2.1,360,95,10
108,서울,2025-01-06 7:00,2.2,,0.3,0,94,9
108,서울,2025-01-06 8:00,2.3,,1.5,250,94,9
108,서울,2025-01-06 9:00,2.5,0,2,270,95,10
108,서울,2025-01-06 10:00,2.1,,3.6,270,92,10
108,서울,2025-01-06 11:00,2.3,,3.1,290,85,7
108,서울,2025-01-06 12:00,2.7,0,3.6,290,73,8
108,서울,2025-01-06 13:00,2.9,,3.8,290,68,7
108,서울,2025-01-06 14:00,2.7,,3.9,290,65,6
108,서울,2025-01-06 15:00,2.4,,4,290,64,4
108,서울,2025-01-06 16:00,2,,3.6,270,62,5
108,서울,2025-01-06 17:00,1.2,,4.5,290,65,3
108,서울,2025-01-06 18:00,0.2,,3.6,290,66,6
108,서울,2025-01-06 19:00,-0.7,,2.9,270,65,0
108,서울,2025-01-06 20:00,-1.3,,3.3,270,64,0
108,서울,2025-01-06 21:00,-1.8,,3,290,59,1
108,서울,2025-01-06 22:00,-2.4,,4.5,270,57,0
108,서울,2025-01-06 23:00,-2.8,,2.5,250,61,0
108,서울,2025-01-07 0:00,-3,,2.9,270,61,1
108,서울,2025-01-07 1:00,-3.2,,3.1,270,55,0
108,서울,2025-01-07 2:00,-3.6,,3.9,270,50,0
108,서울,2025-01-07 3:00,-3.9,,3.5,270,51,0
108,서울,2025-01-07 4:00,-4.2,,3.4,250,53,0
108,서울,2025-01-07 5:00,-4.4,,2.2,290,53,0
108,서울,2025-01-07 6:00,-5,,1.9,290,55,0
108,서울,2025-01-07 7:00,-5.1,,2.1,270,54,0
108,서울,2025-01-07 8:00,-5.7,,0.7,230,56,0
108,서울,2025-01-07 9:00,-5.1,,1.2,270,55,0
108,서울,2025-01-07 10:00,-3.3,,2.2,270,46,0
108,서울,2025-01-07 11:00,-1.4,,2.8,230,41,0
108,서울,2025-01-07 12:00,-0.6,,4.4,250,38,0
108,서울,2025-01-07 13:00,0.7,,3,250,40,1
108,서울,2025-01-07 14:00,1,,4.5,250,45,5
108,서울,2025-01-07 15:00,0.7,,5.4,250,51,7
108,서울,2025-01-07 16:00,0,,3.8,270,52,7
108,서울,2025-01-07 17:00,-0.4,,3.7,270,57,6
108,서울,2025-01-07 18:00,-1,0,4.2,270,66,9
108,서울,2025-01-07 19:00,-1.4,,2.2,230,69,0
108,서울,2025-01-07 20:00,-1.7,,2.5,270,69,3
108,서울,2025-01-07 21:00,-1.9,0.1,3.3,270,53,0
108,서울,2025-01-07 22:00,-2.7,,1.8,360,56,0
108,서울,2025-01-07 23:00,-3.9,,0.2,0,58,0
108,서울,2025-01-08 0:00,-4.3,,0.6,290,59,0
108,서울,2025-01-08 1:00,-4.4,,0.7,320,63,0
108,서울,2025-01-08 2:00,-4.7,,1.4,270,65,0
108,서울,2025-01-08 3:00,-4.1,,1.2,270,66,9
108,서울,2025-01-08 4:00,-4.3,,0.7,320,67,0
108,서울,2025-01-08 5:00,-4.4,,1.7,290,67,0
108,서울,2025-01-08 6:00,-4.5,,1,290,65,0
108,서울,2025-01-08 7:00,-4.5,,0.9,270,62,0
